# %ECSV 0.9
# ---
# datatype:
# - {name: lambda, unit: nm, datatype: float64}
# - {name: theta, unit: degree, datatype: float64}
# - {name: o0, datatype: float64}
# - {name: o1, datatype: float64}
# - {name: o2, datatype: float64}
# - {name: o3, datatype: float64}
# - {name: o4, datatype: float64}
# - {name: o5, datatype: float64}
# - {name: o6, datatype: float64}
# - {name: o7, datatype: float64}
# - {name: o8, datatype: float64}
# - {name: o9, datatype: float64}
# - {name: o10, datatype: float64}
# - {name: o11, datatype: float64}
# - {name: o12, datatype: float64}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Ralf Heilmann}
#   - {ORIGFILE: Si_4um_deep_30pct_dc.xlsx}
#   - {Description: Calculated grating efficiencies}
#   - {Grating: Si 4 my deep}
lambda theta o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12
0.75 2.35 0.737725833 0.0859665367 0.0162658483 0.0047378905 3.59E-05 0.000253165 4.38E-05 2.04E-05 4.00E-05 9.91E-05 2.62E-05 4.70E-06 2.05E-05
0.75 2.4 0.764093427 0.0715265216 0.0148656105 0.0038976288 3.98E-05 0.0002061123 4.08E-06 3.49E-05 4.78E-05 5.55E-05 1.04E-05 6.45E-06 2.16E-05
0.75 2.45 0.786961983 0.0579616027 0.0133553204 0.0030531876 5.56E-05 0.000154581 4.09E-05 4.52E-05 3.88E-05 1.14E-05 6.46E-07 6.52E-06 1.83E-05
0.75 2.5 0.806876204 0.0457886325 0.011912171 0.0022785713 9.34E-05 0.0001284432 0.0001121057 4.82E-05 2.03E-05 2.43E-06 2.01E-06 5.61E-06 1.42E-05
0.75 2.55 0.82573174 0.0354373948 0.0103968285 0.0015771502 0.0001666307 0.0001104418 0.0001644695 4.34E-05 5.38E-06 2.83E-05 9.03E-06 4.01E-06 9.06E-06
0.75 2.6 0.841636381 0.0264623637 0.0087903451 0.0010109118 0.0002876718 0.0001010161 0.0001765704 3.36E-05 1.12E-05 6.31E-05 1.40E-05 5.35E-06 8.21E-06
0.75 2.65 0.852889861 0.018822618 0.0073131922 0.0006197686 0.0004429785 0.0001032037 0.0001464277 2.17E-05 3.38E-05 6.97E-05 1.22E-05 8.47E-06 1.01E-05
0.75 2.7 0.862262867 0.0127256003 0.0058456344 0.0003434326 0.0005957885 9.90E-05 8.52E-05 1.03E-05 4.99E-05 3.78E-05 5.98E-06 8.17E-06 1.10E-05
0.75 2.75 0.868110232 0.007845783 0.0043784763 0.0001571042 0.0007312817 9.63E-05 2.87E-05 3.99E-06 5.16E-05 5.10E-06 2.78E-06 6.79E-06 1.50E-05
0.75 2.8 0.870371636 0.0041522039 0.0031106708 5.96E-05 0.0008311779 0.0001036004 1.40E-06 5.92E-06 4.22E-05 3.87E-06 5.16E-06 8.04E-06 1.55E-05
0.8 0.8 0.184092855 0.124372503 0.0391582025 0.0476459473 0.0379208253 0.0202900014 0.0303179024 0.0612134483 0.0370841023 0.0041739371 0.0002495376 0.0009042737 0.0002927433
0.8 0.85 0.155322009 0.137508657 0.0415007802 0.0481762037 0.034406757 0.0177803497 0.0273863949 0.0595206241 0.0440281743 0.0079905165 7.61E-05 0.0009649986 0.000229736
0.8 0.9 0.13025447 0.151194415 0.0446104654 0.0499524973 0.0318876771 0.0155517641 0.0238464466 0.054353279 0.0475454045 0.0126436912 0.0015817877 0.0005199142 8.00E-05
0.8 0.95 0.109177803 0.164933878 0.0484540448 0.0527511248 0.0302061127 0.0136727595 0.0199881001 0.046402897 0.0468339461 0.0170924032 0.0054900191 1.51E-05 3.27E-05
0.8 1 0.0918789182 0.178208034 0.052841525 0.0560981585 0.0290608065 0.0121268865 0.0160473789 0.036748412 0.0420581195 0.0200070628 0.0115736303 0.0006211228 0.0001599774
0.8 1.05 0.0780243136 0.190546564 0.0575377579 0.0594742825 0.0281219437 0.0108015971 0.012227671 0.02672516 0.0342936305 0.0203651695 0.0184201746 0.0036491213 0.0003165254
0.8 1.1 0.0674423992 0.201671569 0.0624847702 0.0625120085 0.027100704 0.0095499046 0.008766934 0.0176427709 0.0251726763 0.0180336587 0.023793898 0.0095005854 0.0004204947
0.8 1.15 0.0600316584 0.211689872 0.0678228236 0.0649448737 0.0257633426 0.0082897773 0.0059023478 0.0104227356 0.0163767155 0.0138504285 0.0256161576 0.0169743192 0.0007860686
